Heading,Subheading,Title,URL,Filepath,Content Type,Content Hash
Gatherings,Gathering Training and Resources for EnglishConnect,Facilitating a Virtual EC3 Gathering,https://missionaries.prod.byu-pathway.psdops.com/Facilitating-a-Virtual-EC3-Gathering,./data/pdf/Facilitating-a-Virtual-EC-Gathering.pdf,pdf,d3899f8a21b67ae3a09be68bf09d30ecc9fc4d969a8ba5645148ca9dbe80566f
Gatherings,Gathering Training and Resources for EnglishConnect,Facilitating an In-Person EC3 Gathering,https://missionaries.prod.byu-pathway.psdops.com/Facilitating-an-In-Person-EC3-Gathering,./data/pdf/Facilitating-an-In-Person-EC-Gathering.pdf,pdf,707a02207f52744605b6d7bcfc7b698847260b3e1a9de30b74c3ee11da9f7336
Gatherings,Gathering Training and Resources for EnglishConnect,Gathering Procedures for EnglishConnect 3,https://missionaries.prod.byu-pathway.psdops.com/EC3-Gathering-Procedures,./data/pdf/Gathering-Procedures-for-EnglishConnect-.pdf,pdf,8cefa15730ae427f6dc762e88bc6c4bf9aaa82afb818612de771a08dd12b773c
Gatherings,Gathering Training and Resources for EnglishConnect,Guidelines for Gatherings with 11–17-Year-Old Learners,https://missionaries.prod.byu-pathway.psdops.com/Guidelines-for-Gatherings-with-11-17-yrs-old,./data/pdf/Guidelines-for-Gatherings-with--Year-Old-Learners.pdf,pdf,383743ea640811a485042c1eb2884e6cd2203e267944f3a92d64384784690de3
Gatherings,Gathering Training and Resources for EnglishConnect,Help the Lead Learner,https://missionaries.prod.byu-pathway.psdops.com/Help-the-Lead-Learner,./data/pdf/Help-the-Lead-Learner.pdf,pdf,d194e1b12bb1fa933f7eef8dc48f9f3282af82b0faee1d0f700c251ebf6c7a91
Gatherings,Gathering Training and Resources for EnglishConnect,Your Role in the EC3 Gathering,https://missionaries.prod.byu-pathway.psdops.com/Your-Role-in-the-EC3-Gathering,./data/pdf/Your-Role-in-the-EC-Gathering.pdf,pdf,73f89a0f800cc7cbc1ca0f8a5fdb51eb2d931289131bb411f0a1e53290b3d1d4
Gatherings,Gathering Training and Resources for PathwayConnect,Best Practices for Facilitating Virtual Gatherings,https://missionaries.prod.byu-pathway.psdops.com/Best-Practices-for-Facilitating-Virtual-Gatherings,./data/pdf/Best-Practices-for-Facilitating-Virtual-Gatherings.pdf,pdf,b1c268acfed95a2f0fc66372552889b8daea8f791d33e98f29c7cb32eb568d0e
Gatherings,Gathering Training and Resources for PathwayConnect,Best Practices for PC In-Person Gatherings,https://missionaries.prod.byu-pathway.psdops.com/Best-Practices-for-an-In-Person-Gathering,./data/pdf/Best-Practices-for-PC-In-Person-Gatherings.pdf,pdf,8cb2fce5e90f48ca4c74ef5af048312aac14e411be4c183166f09702a065a5b0
Gatherings,Gathering Training and Resources for PathwayConnect,Best Practices for Virtual Gatherings That Don’t Feature Videoconferencing,https://missionaries.prod.byu-pathway.psdops.com/Best-Practices-for-Virtual-Gatherings-That-Dont-Feature-Videoconferencing,./data/pdf/Best-Practices-for-Virtual-Gatherings-That-Dont-Feature-Videoconferencing.pdf,pdf,3dd6e5e62c55ba9fcf696defb4f6e6b45a10bdb9f0897070b3cef84b167aedb6
Gatherings,Gathering Training and Resources for PathwayConnect,Gathering Procedures (PathwayConnect),https://missionaries.prod.byu-pathway.psdops.com/Gathering-Procedures-PathwayConnect,./data/pdf/Gathering-Procedures-PathwayConnect.pdf,pdf,7207b55cea6506ff18785cfb8368585d9eb4239ff18eabe9cd304df43fbe9fad
